id,question,correctanswer,answera,answerb,answerc,answerd
100305,after windstorm niko called electric company report he had no electricity his phone call example elements universal systems model,c,designing,generating output,giving feedback,setting goal
100306,structure responsible modifying proteins packaging vesicles transporting them plasma membrane secretion,a,golgi apparatus,nucleus,lysosome,ribosome
100307,battery claims lasts twice long competing batteries under loading conditions comparison validate claim,c,twice large,contains electrons,stores,destroys less
100308,our solar located milky way galaxy,d,middle,underneath,outside,outer edge
100309,when bumper cars collide some kinetic energy transformed form formed result collision,d,electrical,electromagnetic,magnetic,sound
100310,arteries veins important parts circulatory relationship,b,work together exchange gases,work together transport nutrients,work independently remove wastes,work independently relay messages
100311,students watched bird fly large bush every few minutes told teacher nest this example,a,inference made observations,observation made predictions,prediction made data samples,result made inference
100312,resources depleted first,c,wind,solar,fossil fuels,water
100313,after pregnancy ends birth placenta,a,removed mother,breaks down absorbed uterus,continues growing until next pregnancy,becomes part mother umbilicus
100314,1980s company sells garlic supplements conducted investigations types concluded could maintain healthy heart reason skeptical about results,a,company conducted investigation could profit results,garlic been part human diet thousands years,investigations conducted 1980s unreliable,type garlic
100315,estuaries florida often mangrove trees growing them roots slow flow allows particles settle if people were allowed remove estuary environment affected,a,amounts nutrients decrease,habitats fish established,populations grasses,risk erosion reduced
100316,nucleotide base molecule dna,d,oxygen,glucose,uracil,adenine
100317,joint like one skull vertebral column projection on bone fits notch another classified,c,ball socket joint,hinge joint,pivot joint,sliding joint
100318,substances below pass developing fetus across woman placenta mother,b,nutrients,dioxide,oxygen,umbilicus
100319,chicken running down dirt road conditions must met find average speed,d,speed chicken must vary,chicken must stop take break before running again,speed chicken must continue,none above
100320,high humidity often leads foggy weather even storm systems tools measure order forecast conditions,b,barometer,psychrometer,thermometer,anemometer
100321,if book sitting flat table starts move horizontally moving because,c,balanced force being applied,frictional force being exerted,unbalanced force being applied,gravitational force being exerted
100322,explains happen hydrosphere area where air temperatures,d,earthquake intensity decrease,mountain formation decrease,weathering,evaporation
100323,nitrogen nutrient needed plants growth naturally cycled soil where rapidly absorbed farmer do replenish depleted,b,enhanced phosphates,add fertilizer provide source nitrogen,genetically altered crops fix own nitrogen,add bacteria order crop grow stronger roots
100324,first time huge number evolved during era,b,precambrian,paleozoic,cambrian,mesozoic
100325,flowering structure containing dna transported another,d,nectar,chlorophyll,glucose,pollen
100326,scientist collected monthly population counts three animal forest five years to display data should,c,table,pie chart,line graph,scatterplot
100327,allows become specialized,c,location,function,patterns gene expression,combinations genes nucleus
100328,tigers household cats members family however sizes vastly cause difference,c,biochemical makeup,behavioral makeup,genetics,habitat size
100329,gasoline cars produced fossil fuels using lead environmental problem,d,erosion,pollution,wildlife extinction,global warming
100330,continental crust floats top mantle because,a,less dense mantle,made liquid material,made up oxygen element,separated mantle layer
100331,main source drives weather patterns,a,sun,oceans,moon,mountains
100332,block ice placed hot sidewalk melts because,b,ice flows sidewalk,sidewalk flows ice,convection currents flow ice sidewalk,radiation flows ice sidewalk
100333,when earthquake wave passes crust mantle,b,reverses direction,changes speed,increases,stops moving
100334,population little genetic variation,b,less become extinct,become extinct,effected environmental factors,less effected environmental factors
100335,when highest tides occur along texas coast,c,sunrise,sunset,during full moon,during half moon
100336,si unit appropriate recording length typical classroom,c,gram,kilogram,meter,kilometer
100337,carbon both living nonliving matter order continuously available must recycled through made atmosphere,d,formation fossil fuels,layering,photosynthesis,forest fires
100338,ecosystem benefit leaves fall tree decompose,a,nutrients released,erosion decreases,dioxide absorbed,decreases
100339,example increasing complexity levels organization,b,chlorophyll molecule > chloroplast ground tissue leaf shoot,chlorophyll molecule > chloroplast ground tissue leaf shoot,chlorophyll molecule > chloroplast ground tissue shoot leaf,shoot > leaf ground tissue chloroplast chlorophyll molecule
100340,scientist was examining large boulder covered lichens combination fungi algae he chipped piece rock placed under microscope observed surface breaking down underneath lichen observing,b,interaction abiotic factors,effects weathering,deposition,effects abrasion
100341,events during meiosis contributes variation within,c,pairing chromosomes,creation haploid gametes,segregation alleles,separation chromatids
100342,way determine role squirrels forest ecosystem,c,measure length several squirrels,determine genes control squirrel traits,make field observations squirrels natural habitat,read articles about nutrient requirements squirrels
100343,average temperature surface increased approximately ° c past century reason explains,c,higher levels oxygen atmosphere,lower levels ozone atmosphere,higher levels dioxide atmosphere,lower levels nitrogen atmosphere
100344,contain hereditary information necessary,a,regulating functions passing information next generation,predicting dna sequences humans,creating identical daughter,producing identical gametes
100345,cheetah population around world decreased because poaching loss habitat surviving similar alleles factor endangering survival,b,harmful genetic mutations,shrinking gene pool,decrease competition,adaptations
100346,healthy bone tissue constantly being built rebuilt many individual called,b,veins capillaries,osteoblasts osteoclasts,red blood cells white,red bone marrow yellow
100347,renewable resource photovoltaic produce electricity,b,hydrothermal,solar,geothermal,nuclear
100348,when volcano erupts dust ash blown atmosphere eruption directly reduces transfer,b,ground bacteria,sun,animals,animals air
100349,student obtained identically sized plants same plant type then placed them room one was near window on side second opposite were given identical amounts nutrients testable hypothesis investigation,d,kind enters windows,wavelengths growth,different windows allow amounts enter room,grow different sizes if exposed amounts sunlight
100350,makes possible hurricanes form,d,depth,clarity,salinity,temperature
100351,repeated pesticide on insect population result some insects becoming resistant over responsible pesticides no longer being effective,b,divergent evolution,natural selection,bottleneck effect,selective breeding
100352,megan interested density wood produced trees she wonders why some produce greater others suspects had available were growing would less dense decides test idea experiment appropriate hypothesis,a,if oak trees exposed greater than average amounts then wood less dense,if oak trees grow rapid rate wood less dense,if wood oak tree greater average density less able transpire,if wood oak tree lower average density less able transpire
100353,hydrogen gas oxygen combine form concise way expressing happens reaction,b,write formula,write equation,describe rearrangement atoms,describe procedure creating
100354,property element determined adding number protons neutrons,a,atomic,atomic radius,electrical charge,electrical potential
100355,gold atoms identified based number subatomic particles,d,neutrons,electrons,nuclei,protons
100356,polymers made,c,macromolecules,monosaccharides,monomers,proteins
100357,sexual reproduction offspring receives half genes,a,parent,sibling,itself,offspring
100358,true mutualistic relationships among,b,ignore,cooperate,prey,compete
100359,describes climate nevada,c,night dropped behind cold front,wind increased during day,humidity low throughout every summer,air pressure increased gradually week
100360,infectious diseases caused,d,allergies,vitamin deficiencies,spills,microorganisms
100361,where atom located,b,protons,nucleus,neutrons,electrons
100362,features crust caused shifting tectonic plates,a,mid ocean ridges,desert sand dunes,u shaped valleys,continental shelves
100363,event changes ecosystem single day,d,drought,succession,decomposition,wildfire
100364,identifies crystalline solid,b,atoms arranged random pattern,atoms arranged regular repeating pattern,atoms easily move slide past another,atoms lots space move slide past another
100365,liver converts glucose glycogen storage why function considered,c,because conversion transforms solids liquids,because conversion allows less glucose liver,because conversion changes one substance,because conversion changes shape liver
100366,nasa kepler mission collected information about main sequence stars characteristics similar common color,d,blue,white,red,yellow
100367,immune system functions defend against infection invasion example specialized,b,red blood,white blood,muscle,neuron
100368,based locations periodic table element properties similar those calcium ca,a,beryllium be,potassium k,titanium ti,yttrium y
100369,information transferred electrical structures eye,c,lens,retina,rods cones,optic nerve
100370,smallest unit perform processes life,b,leaf,cell,tissue,root
100371,analogy illustrates why plates move,b,glass shatters falls table onto tile floor,ice frozen pond cracks beneath moves,burning diesel fuel forces piston downward turning crankshaft,tree root grows ledge breaks off piece
100372,difference oceanic crust continental,b,composed chiefly sedimentary rocks,dense continental crust,older continental crust,continually being created
100373,student determined volume ice cube after melted water less explains difference volumes,c,some matter ice converted heat during melting,some matter destroyed ice melted,water denser ice so takes up less space,less dense ice so takes up space
100374,kuiper belt region solar exists past orbit neptune unit length logical choice measuring distances,b,mile,astronomical unit,year,kilometer
100375,characteristic spiral galaxy,c,there spherical structure located center,disk forms arm like structure,contains old stars spread throughout,there halo made star clusters
100376,oil coal natural gas fossil fuels formed under conditions,b,low high pressure,high pressure,low pressure,high low pressure
100377,student needs facts make conclusion about exposed rock profile several layers observation fact,c,layers contain fossils exciting,looking entire profile difficult,layers profile arranged horizontally,some rock layers good
100378,maintains equilibrium through series messages called feedback mechanism organ releases hormones maintain balanced glucose levels,d,liver,blood,fat,pancreas
100379,a pan soup being heated electric stove metal spoon occasionally stir example heat transferred convection,b,heating pan,heating soup,heating spoon,heating stove burner
100380,student designing model solar writing report she trying accurate possible should include her,d,distance measured years,jupiter uranus considered terrestrial planets,asteroid belt located jupiter saturn,orbit mars similar saturn
100381,some meteorologists visual aids such diagrams maps charts present weather television viewers do types help understand complex phenomena,d,combining knowledge past reports information,providing information collected meteorologists,checking accuracy part weather report,showing many components impact weather
100382,if marcy wanted find out average length 8th grade student foot lead accurate results,d,marcy has five people cut string approximately inches long them measure feet 8th grade students,marcy five people measure feet friends,marcy measures feet first people she sees school campus,marcy gives person inch ruler measure feet 8th grade students
100383,large heavy easier move underwater above because,b,buoyant force air greater,buoyant force greater air,density greater air underwater,density less air underwater
100384,due increasing average atmosphere polar ice sheets melt greater rate form effect continued melting,a,major reservoir fresh decrease,life due higher sea levels,runoff cause ocean salinity,ocean decrease addition cold
100385,sound waves pass through except,d,air,steel,water,vacuum
100386,concentration gas results activity producer,b,nitrogen,oxygen,vapor,dioxide
100387,greatest effect speed sound travels through gas,d,ability electrons travel through medium,frequency wave,amplitude wave,proximity molecules medium
100388,asexually produced offspring genetically,a,identical parent,parent,each,formed parents
100389,fossil record shows first were anaerobic defined statements,b,must oxygen breathe,oxygen breathe,must dioxide breathe,nitrogen breathe
100390,lake has been century irrigate crops practice affected resource,d,decreased salt content,increased evaporation rate,increased number fish lake,decreased volume lake
100391,energy often transformed living non systems solar stored,d,flashlights,pulleys,animal,plant
100392,when molecules liquid slow down,d,not,begin evaporate,begin melt,begin freeze
100393,human activity negatively affected air quality,a,burning coal,growing crops,using solar,constructing nuclear power
100394,team surveyors takes measurements ground altitude horizontal intervals meter over square area produce representation,a,topographical map,map wind currents,plate tectonic diagram,chart sedimentary layers
100395,occurs if myosin fails bind actin during muscle contraction,b,muscle lose atp,muscle remain relaxed,muscle produce lactic acid,muscle lose calcium ions
100396,type evidence supported plate tectonics came,d,salinity saltwater,atmospheric pressure,solar radiation,paleomagnetism
100397,amanda gets protein lunch eating chicken sandwich build her,c,proteins chicken directly amanda,proteins chicken refolded then amanda them,proteins chicken broken down amino acids dna amanda uses those build human,proteins chicken digested amino acids changed human so amanda dna them build
100398,ordovician extinction occurred million years ago fossil records indicate up thirds disappeared ice age lasting theory tectonic movement land over south pole caused claims burst gamma rays nearby supernova started this newer received skepticism scientific community cause,b,this theory replace old,this theory must undergo further study,scientists accept theory own studies those,there enough geological evidence animal life period
100399,alpha centauri closest star systems our solar unit measurement show distance,c,mile,astronomical unit,year,kilometer
100400,humans allele free earlobes dominant attached genotypes represents individual,d,ff,ff,ff,both b
100401,when placed equal distances apart greatest gravitational attraction,d,skateboards,refrigerators,bowling balls,school buses
100402,unlike cell walls give shape internal organization,c,animal cells,prokaryotes eukaryotes,cells animal,eukaryotes prokaryotes
100403,example organic weathering rocks,b,glaciers moving large pieces fractured,tree roots growing fractured,ice freezing surface,wind blowing sand against surface
100404,recent study concluded about large predatory fish such tuna disappeared world oceans past years direct cause loss,b,urban development near coast,commercial harvesting ocean,climate,acid precipitation over oceans
100405,composition saturn rings,d,hydrogen helium,ammonia methane,clusters space debris,chunks ice
100406,lists elements contain six common living,b,protein carbohydrates nucleic acids fats oxygen,hydrogen oxygen sulfur nitrogen phosphorus,hydrogen oxygen helium potassium silicon,helium potassium silicon sulfur nitrogen phosphorus
100407,rainforest area experiencing severe drought as consequence insect population decreased eating birds do result,c,stop searching until begins rain,begin reproducing population,move area find,start hibernation
100408,student observes milky way galaxy night sky characteristic makes visible,b,galaxy stellar nebulae reflect,billions stars galaxy carry out nuclear fusion,tons compressed matter begin radiate visible galaxy center,galaxy spins speed generates large molecular friction
100409,various steps calvin cycle photosynthesis communicated through,b,scale model,labeled diagram,scientific map,scientific drawing
100410,fusion reaction fuels converts hydrogen,d,carbon,iron,neon,helium
100411,oceans influence global climate,a,releasing heat atmosphere,cooling bordering land masses,providing continuous onshore winds,removing vapor atmosphere
100412,possible object but no weight,a,no force gravity acting object,object moon,object very small volume,no inertia acting object
100413,correct path blood through circulatory,a,blood enters chamber valve closes off vessel heart contracts pushes forward,heart contracts blood enters chamber valve closes off vessel pushes forward,heart relaxes pushes forward blood enters chamber valve closes off,blood enters chamber valve closes off vessel heart relaxes pushes forward
100414,explains periods periodic table organized,a,increasing atomic number left right,increasing number neutrons left right,decreasing number electrons left right,decreasing atomic number left right
100415,during activity refracted,c,placing scarf over shade lamp,viewing objects using side mirror car,looking pebbles through stream,using flashlight up forest path night
100416,dogs normally total chromosomes when reproduce males contribute,d,chromosomes females contribute,chromosomes females contribute,chromosomes females contribute,chromosomes females contribute
100417,milky way galaxy n,c,elliptical,irregular,spiral disc shaped,square shaped
100418,mass air under high pressure travels southward polar area toward equator motion affect,d,air experience increased pressure,air mix low pressure,air reverse direction travel back pole,air appear turn move westerly direction
100419,complete removal decomposers ecosystem greatest effect,c,spread disease,availability,recycling nutrients,distribution
100420,why brain mammals keep track skin blood,c,control activity level animal,guide animal warmer colder locations,maintain stable temperature regardless air,regulate breathing rate heart extreme conditions
100421,california condors become endangered due loss natural habitat if future condor generations do characteristics adapt environmental changes,d,migrate suitable environment,acquire traits through cross mating,produce smaller offspring until conditions,become extinct
100422,if two objects meters apart changes gravitational force,c,decreasing object,decreasing both objects,moving objects meter apart,moving objects three meters apart
100423,agnes learned brain spinal cord nerves work together do combine form,d,cell,tissue,organ,system
100424,similarities structure provide evidence supports theory evolution this type known,c,geology,fossil record,comparative anatomy,molecular biology
100425,some students were investigating relationship position speed marked initial toy car set motion second appropriate recording analyzing data,b,table bar graph,table line graph,pie chart bar graph,pie chart line graph
100426,characteristic below accounts our limited knowledge galaxies,d,tiny size,magnetic cores,inability produce,great distance
100427,car runs out fuel while traveling level road eventually comes stop explains why stops,a,some car lost friction,some car destroyed,kinetic increased,useful increased
100428,some areas deep currents pulled toward surface near continents known rich marine due nutrients brought,b,gyres,upwellings,surface currents,density currents
100429,student recorded growth rate plants grown presence types music type grew faster before reporting conclusion should do,b,use,do experiment again,add third type music,fewer
100430,after event ecological succession happen,a,forest fire,thunderstorm,high tide,lunar eclipse
100431,acceptable method updating scientific knowledge,b,replace old information monthly basis,add information research existing,have committee vote old information should changed,current information internet existing research data
100432,s tires were sunk along florida coast create artificial barrier reefs because many constantly motion no marine life been attracted habitat now biologists removing ocean floor describes reason being removed,c,making space natural reefs develop,marine life evolved no longer attracted material,observations led reconsider original hypothesis,formed hypothesis after investigation had taken place
100433,when live within competitive environment highest fitness most survive reproduce this concept survival fittest where well adapted individual survives reproduces known as__________,b,artificial selection,natural selection,natural survival,struggle existence
100434,reason explains why people get colds colder temperatures,d,viruses need colder temperatures survive,viruses need colder temperatures infect people,colder temperatures lower person,colder temperatures cause people stay inside closer together
100435,necessary telescope order photograph solar flares prominences,a,filter,chronograph,electric drive,series mirrors
100436,an episode geological scale where many die out quickly called n,c,explosion,asteroid impact,extinction,climate
100437,species classified based characteristics characteristic identifies organisms members,a,produce fertile offspring,communicate easily,defend territory,move place
100438,car traveling constant speed direction if suddenly comes complete stop passengers continue,b,direction but slow down come stop if acted upon balanced force,direction speed unless acted upon unbalanced force,speed but direction unless acted upon unbalance force,speed direction unless acted upon balanced force
100439,capture sunlight very large molecules called,d,fats,dna,proteins,carbohydrates
100440,geologic absent gulf coast states,b,beach development,subduction zones,weathering,erosion
100441,sun medium sized star expected continue perform nuclear fusion five billion years final stage,d,supernova,supergiant,neutron star,white dwarf
100442,as population area grows water usage increases eventually outstrip supply measure available demonstrates stewardship resource,b,discovering reservoirs aquifer,reducing usage through conservation measures,combining hydrogen oxygen make,piping aquifer elsewhere
100443,during ice age enormous sheets called glaciers increase size surface resulting decreased ocean depths due global cooling cycle disrupted stages cause glacier,c,runoff evaporation,transpiration precipitation,precipitation runoff,transpiration evaporation
100444,renewable energy resource possesses greatest potential providing meet future needs southern united states,c,tidal,water,solar,coal
100445,type bird africa eats blood sucking insects off large mammals word describes relationship,a,mutualism,parasitism,neutralism,commensalism
100446,wildcats such lynx predators rabbits occur if aggressive wolf introduced ecosystem predator,b,population consume rabbits eat,population rabbits ecosystem,population consumed lynx,population lynx ecosystem
100447,for human skin color gene controls red tones dark brown individual therefore you deduce,a,multiple genes determine single trait,gene one color comes parent other,color your skin based upon you receiving red gene brown,above statements correct
100448,separate saltwater solution,d,using paper filtering,using chromatography,allowing salt settle,allowing evaporate
100449,investigation procedures important reaching conclusion,b,classifying sequencing methods,evaluating interpreting data,developing multiple hypotheses,predicting outcome
100450,6th century bce philosophers were trying discover nature atom thousand years later scientists like john dalton ernest rutherford niels bohr continued study make contributions atomic theory why do continue investigate certain topics,b,quest valid scientific information come current technology,quest undiscovered scientific information ongoing,past were incapable developing valid scientific ideas,must continually update older theories ideas
100451,helps control blood glucose levels,b,immune removes excess blood glucose line defense,endocrine releases hormone balances blood glucose levels,digestive releases enzyme stabilizes blood glucose levels,reproductive absorbs excess blood glucose embryonic nutrient
100452,ongoing causes buildup released later earthquake occurs,d,heat earth core slowly melts rocks deep crust,nuclear reactions lower crust release electromagnetic waves,jagged edges along fault generate friction moving tectonic plates,tectonic plates near fault continue move even though remains motionless
100453,characteristics classifying within kingdom,a,type vascular tissue,photosynthesis,presence walls,production oxygen
100454,writing careful procedures controlling any known variables experiment chances data,b,supported hypothesis,able reproduced,explained conclusion,properly presented graph
100455,some localized layers contain element iridium often space objects such meteoroids asteroids discovery containing been matched phenomena history,b,tectonic plate separations,extinctions,orbital path changes,magnetic pole reversals
100456,when switch ceiling fan turned electrical being transformed,d,atomic,potential,chemical,mechanical
100457,supernova detected large magellanic cloud galaxy approximately years event produces,a,explosion massive star,birth main sequence star,collapse medium sized star,collision star another
100458,milky way part galaxies called local group reason considered,c,type galaxy,number stars,attracted gravity,seen without aid telescope
100459,considered very large molecule important living,d,proteins,fats,carbohydrates,salt
100460,chemosynthetic bacteria use make carbohydrates deep ocean ecosystem stability vital because,a,ecosystem producers,ecosystem decomposers,responsible breaking down organic material,prevent dead material piling up
100461,renewable resources results pollution produce,c,water,wind,biomass,geothermal
100462,advantage gained using radio telescopes opposed optical,c,viewed images clearer,operation less complex,ability see through clouds dust,ability take up less space
100463,involved creating genetically modified bacteria,c,allowing them reproduce freely,changing source,using biotechnology techniques,growing them selected
100464,theory plate tectonics hypothesis regarding certain aspect movement,c,theory addresses science topic,theory may if evidence emerges,theory explains number related observations,theory evaluated single variable experiment
100465,proteins,c,contain number amino acids,shape,composed combinations amino acids,contain sequence amino acids
100466,wind generated electrical produces no emissions generally environmentally clean technology explains disadvantage turbines,a,wind turbines adversely impact migratory birds,wind turbines constructed any environment,wind turbines remove large amounts thermal habitat,wind turbines distribute over growing crop
100467,terms describe properties both wave particle,c,charge volume,frequency,speed frequency,frequency density
100468,in xylem phloem move nutrients through storage humans organ similar function,c,nervous,respiratory,cardiovascular,integumentary
100469,elias examining unknown substance discovered within meteorite called compound x he using electron microscope examine particles appear weakly attracted able slide past another freely,b,solid,liquid,gas,plasma
100470,generally deeper rock layers older shallower collision tectonic plates order,c,layers contain pollutants dissolve,layers lack due extended droughts,layers compressed forming faults folds,layers moved closer rivers erode landforms
100471,some pass half genes offspring called,b,blood,sex,body,diploid
100472,astronomers evidence existence super massive black hole center giant elliptical galaxy m87 thought cause holes form,c,death low star,gravity large nebula,collapse high star,combining material planets
100473,crude oil extracted today formed millions years ago fossilized remains algae tiny marine organisms parts decomposed soon after died biomolecules slowly became basis,c,proteins,carbohydrates,fatty acids,nucleic acids
100474,fossil record shows order evolutionary,a,layers,mountain ranges,evidenced dinosaurs,extinction
100475,boy pulls sweater off over his head hair attracted due,d,magnetic force,heat transfer,chemical,electrical charge
100476,during demonstration on falling objects science teacher explained class acted upon gravity alone fall same rate then took identical sheets paper crumpled them ball left sheet flat form dropped height explains why landed floor before,d,crumpled sheet weighed flat,crumpled sheet weighed less flat,air resistance acted on crumpled sheet flat,less air resistance acted on crumpled sheet flat
100477,relative dating figure out timeline history life ideas important foundation,b,unconformities,uniformitarianism,continental drift theory,plate tectonics
100478,example production hydroelectric power could potentially harm environment,a,dam causes silt sediment buildup,radioactive waste threat wildlife,dam changes salt content downstream,generators make loud noise disrupts migration patterns birds
100479,kept rotational orbit around,a,gravitational forces,magnetic force,nuclear forces,electric forces
100480,pharmaceutical company published results limited experiment investigating protective value compound against high doses uv rays skin later discovered were reproducible action could researchers taken avoid publishing erroneous,a,perform multiple trials,low levels radiation,wavelengths radiation,look results similar experiments before forming hypothesis
100481,layer source lava erupts volcanoes,a,asthenosphere,inner core,outer core,lithosphere
100482,franklin wants know how fast he runs distances uses stopwatch measure takes him complete meter race calculate his speed,b,add distances times,divide distances times,multiply distances times,subtract distances times
100483,state particles causes become arranged fixed position,c,boiling,melting,freezing,evaporating
100484,geologist finds layer shale near surface certain period nearby but deeper underground first might caused difference depth,b,meteorite,fault,ancient fossils,animal life
100485,composed layers material properties constant motion,b,core,mantle,oceanic crust,continental crust
100486,when oxygen combines hydrogen substance formed,a,water,vinegar,hydrochloric acid,hydrogen dioxide
100487,during state do particles substance move being tightly packed together having freedom movement,a,solid becoming liquid,gas becoming solid,gas becoming liquid,liquid becoming solid
100488,based doppler effect electromagnetic waves reaching earth galaxy moving away expected,d,experience amplitude,experience frequency,experience decrease transverse waves longitudinal,experience decrease frequency
100489,cow frog similar bone structures forelimbs both phalanges radius ulna humerus bones however animals very life cycles describes why so,b,both undergone similar mutations,both descended common ancestor,both reacted similarly environmental pressures,both spread out geographical region
100490,important living because ability do,d,variety bonds,bond atoms,bond many elements,above
100491,consequence constructing coal fueled electrical power meet demand,d,coal requires high temperatures order generate,costs because coal replacement expensive,released coal difficult transmit,coal combustion releases pollution atmosphere
100492,when plant wilts stomata close help,b,increases photosynthesis,reduces further loss,increases cellular respiration,reduces intake roots
100493,structure both virus,a,nucleic acid chain,golgi apparatus,endoplasmic reticulum,nuclear membrane
100494,alfred wegener proposed theory continental drift around made his controversial until 1950s,d,southern hemisphere showing evidence glaciation,assembling continents supercontinent called pangea,boundaries north america europe south fitting together,plowing ocean crust centrifugal force gravitational forces
100495,greatest capacity storing thermal,c,air,land,oceans,plants
100496,while conducting investigation refraction teacher uses red laser pointer show beam affected passes through several glass objects should make sure,c,room totally dark,source ultraviolet,beam travel toward students,room walls shielded insulating material
100497,convert dioxide sugar through called,d,aerobic respiration,fermentation,metabolism,photosynthesis
100498,while on field trip nasa felicia saw short film materials make up nebulae topic presented,b,asteroid development,stellar formation,planetary orbits,galaxy shapes
100499,organ human contains pituitary gland hypothalamus thyroid,c,reproductive,excretory,endocrine,circulatory
100500,student using hydrochloric acid investigation piece safety equipment important during,b,mask,goggles,fire extinguisher,disinfectant spray
100501,example trait decrease organism chance survival,c,insect able survive reproduce after being sprayed insecticide,snake vertical bands color blends rocky shoreline,albino deer stands out against dark background surroundings,offspring moth able blend color bark tree
100502,nonfunctional pelvis hind limbs some snakes support about evolution,c,snakes began evolve structures but selection pressures did favor them,mutations tend make species evolve resemble environment,snakes evolved common ancestor structures functional,selection pressures promoting snake evolution ceased before anatomy well adapted
100503,many deep sea animals structures bioluminescence released allowing animal see dark caused n,b,physical,reaction,reversible,endothermic reaction
100504,know constantly changing familiar processes repeated daily monthly yearly natural event predicted occur,c,volcanic eruptions,earthquake activity,phases moon,precipitation amounts
100505,grassland ecosystem same eat when lack rain increased,d,carrying capacity,population density,competition space,competition resources
100506,your science instructor gives you sample element asks classify based on properties find substance poor conductor electrical current heat appearance dull brittle observations determine,a,nonmetal,semimetal,metal,none above
100507,occurred traits appear,b,selective breeding,genetic mutation,crossbreeding,cloning
100508,protein structure determined,c,specific sequence carbohydrates,random order amino acids,specific sequence amino acids,undetermined sequence lipids
100509,function accomplished formation haploid sexually reproducing,a,production zygote complete set chromosomes genetic material parents,production offspring identical chromosomal combinations both parents,elimination genes selection pressures acting against,deletion genetic material mutated
100510,california ability sustain agriculture means support economy due geologic feature,d,deserts,proximity oceans,mountains,flat valleys
100511,animals eat both matter meat referred,d,decomposers,scavengers,herbivores,omnivores
100512,student observes zinc turning solid liquid laboratory investigation describes atoms while melting,b,zinc atoms decreased,zinc atoms lost relative fixed position,zinc atoms were changed another element,size zinc atoms decreased
100513,allows planets stay orbit,b,moon gravity,gravity,magnetism,rotation
100514,effect ocean pollution reduce populations phytoplankton algae reduction might impact ecosystem,b,decreasing level dioxide atmosphere,decreasing oxygen being produced,increasing marine sediments,increasing salt fish populations
100515,by part enters eye focused,d,lens,pupil,iris,cornea
100516,coal solid began organic material deposited swamp formation suggests,d,coal made mostly skeletal remains animals,coal formed magma solidified over,quickly becomes petrified removed,geologic processes continue over millions years
100517,farmer wants know brand fertilizer use his crops the buys three brands uses them on corn plants fertilizers four weeks finds helped grow fastest chooses tomato should done make experiment reliable,a,farmer should corn,farmer should fertilizer three weeks,farmer should tomato plants instead corn,farmer should brands fertilizer
100518,bile produced emulsify break down smaller particles fats we ingest small intestine where,b,pancreas,liver,small intestine,stomach
100519,our main sequence yellow star,c,k,k,k,k
100520,felicia investigated whether water color affected fast heated sunlight she poured tap five beakers placed coloring four out then used thermometer measure control her investigation,b,mixing coloring,testing beaker uncolored tap,using trial,testing colored samples times
100521,mechanism helps cycle atmosphere living,c,tissue decomposition,cellular respiration,photosynthesis,transpiration
100522,provides evidence environment changed over millions years,c,active migration sand dunes,polished appearance surfaces,marine fossils mountains,bones animals ground
100523,high speed wind called jet stream moving west east across united states characteristic important predicting weather patterns,d,jet stream controls speed surface wind,jet stream controls direction surface wind,jet stream separates moist northern air dry southern,jet stream separates cold northern air warm southern
100524,statements accurate about,d,infinite supply,near end life cycle,infancy terms consumption,consumed approximately half expendable
100525,greatest known extinction event history percent marine may died out,d,cambrian extinction,paleozoic extinction,mesozoic extinction,permian extinction
100526,trilobites extinct animals lived oceans fossils dry areas such cincinnati indicate,c,trilobites now live underground,trilobites ancestors jellyfish,cincinnati once covered ocean where trilobites lived,environment changed creating small saltwater lakes cincinnati
100527,radio station broadcasting across large area experiencing thunderstorms waves affected,c,wavelength increased,amplitude unchanged,frequency distorted,speed decreased
100528,element determined tightly electrons held individual atom,d,thermal conductivity,melting,electrical conductivity,both c
100529,fossils tropical were recently discovered antarctic continent buried under layers ice explains why might occurred,b,global warming allowed tropical survive buried under ice,continental drift separated tropical home further north,poles used warm tropical region planet equator freeze,volcanoes antarctica once made warm habitable continent
100530,mr mendoza class studied systems important function circulatory,b,providing structural support muscles,carrying oxygen,getting,sending messages brain
100531,mars rover been sent explore relay data less massive earth when compared comparison weight,c,mars weight less,weight mars less,weight less mars,less mars weight
100532,example,d,sand separated filtering,evaporating puddle,being eroded wind,nail rusting
100533,as passes through lens type image produced back eye,d,half image eye,distorted,right side up,upside down
100534,rocks warm humid environments weathered faster next step cycle,c,cemented,compacted,become eroded,become molted
100535,theory plate tectonics revolutionized scientific thought because,a,explained movement oceanic continental crusts,demonstrated tidal forces affect coastlines,mapped pattern frequency earthquakes,explained mineral differences continents
100536,indication taking place,d,iron changes color heated,gas bubbles form boiling,solid wax forms melted falls ice,gas forms vinegar baking soda mixed
100537,occurs due rotation,b,seasons,day night,orbit moon,lunar solar eclipses
100538,development chemical fertilizers improved yield agricultural crops disadvantage using,a,runoff containing fertilizer may contaminate nearby surface,increased agricultural crops may promote insect overpopulation,improved crop output may cause excess dioxide production,excess fertilizer may cause increased weed populations
100539,statements considered part big bang theory,b,universe expanding,universe never changes,universe began hot dense state,universe began single point
100540,place within crust where earthquake originated called,d,epicenter,fault,fracture,focus
100541,type formed limestone been compacted heated recrystallized,c,siltstone,sandstone,marble,shale
100542,gases responsible absorbing thermal radiation except,b,chlorofluorocarbons,molecular oxygen,nitrous oxide,vapor
